post_id,date,platform,content_type,likes,shares,comments,impressions,engagement_rate
POST-1000,2026-01-05,Instagram,Carousel,1385,203,149,28515,9.64
POST-1001,2026-01-03,TikTok,Image,1824,396,299,38385,6.26
POST-1002,2026-01-17,Instagram,Carousel,1858,144,224,4450,9.13
POST-1003,2026-01-18,TikTok,Reel,1108,207,249,15605,6.08
POST-1004,2026-02-24,Facebook,Video,1569,154,112,25826,7.66
POST-1005,2026-01-09,Facebook,Reel,1179,271,77,7710,5.35
POST-1006,2026-01-17,TikTok,Reel,637,201,268,3018,3.88
POST-1007,2026-01-24,Facebook,Image,1010,201,48,6281,2.18
POST-1008,2026-01-11,Instagram,Video,528,69,71,39783,2.37
POST-1009,2026-01-30,Facebook,Image,2078,340,76,19921,8.49
POST-1010,2026-02-08,Facebook,Video,412,7,196,19478,5.32
POST-1011,2026-02-04,TikTok,Reel,1466,70,232,43550,7.18
POST-1012,2026-02-19,Instagram,Video,527,321,90,28935,11.14
POST-1013,2026-01-12,Facebook,Carousel,1016,395,199,18881,8.82
POST-1014,2026-02-22,Facebook,Image,1195,163,26,13270,2.42
POST-1015,2026-02-06,TikTok,Video,686,194,82,30923,6.85
POST-1016,2026-01-24,TikTok,Image,383,337,194,19933,4.71
POST-1017,2026-02-25,Facebook,Carousel,388,8,275,44931,9.67
POST-1018,2026-01-13,Instagram,Reel,877,282,210,3079,4.36
POST-1019,2026-01-16,Instagram,Carousel,1177,33,108,31926,11.89
POST-1020,2026-02-01,Instagram,Carousel,1939,379,284,41759,4.69
POST-1021,2026-02-22,Instagram,Image,1799,138,65,40886,7.28
POST-1022,2026-01-14,Facebook,Video,384,194,139,3993,7.09
POST-1023,2026-02-27,Instagram,Image,1119,217,183,16173,7.23
POST-1024,2026-02-01,Facebook,Reel,2300,341,190,48808,6.04
POST-1025,2026-03-01,Instagram,Carousel,1806,57,101,11321,3.42
POST-1026,2026-02-14,Facebook,Carousel,2390,247,103,13433,10.31
POST-1027,2026-01-30,TikTok,Video,1003,192,39,23792,10.87
POST-1028,2026-02-11,TikTok,Image,283,235,218,32565,10.85
POST-1029,2026-02-21,Instagram,Video,545,194,269,30651,9.8
POST-1030,2026-01-09,Facebook,Reel,2038,82,236,47585,9.44
POST-1031,2026-01-26,Instagram,Video,236,196,11,31092,5.85
POST-1032,2026-02-15,TikTok,Carousel,1202,277,186,6339,5.04
POST-1033,2026-02-13,TikTok,Carousel,1972,341,40,48166,2.49
POST-1034,2026-01-31,Instagram,Carousel,1767,171,170,19278,6.25
POST-1035,2026-02-01,Instagram,Carousel,2386,61,158,20031,7.56
POST-1036,2026-02-12,Facebook,Carousel,168,324,77,25632,4.67
POST-1037,2026-02-27,Facebook,Video,723,170,37,10820,5.51
POST-1038,2026-02-04,Facebook,Video,1850,315,8,19448,3.68
POST-1039,2026-02-20,Facebook,Carousel,2118,228,146,38379,6.5
POST-1040,2026-01-21,Facebook,Carousel,1409,154,291,41871,3.42
POST-1041,2026-02-25,TikTok,Image,183,171,5,49355,6.69
POST-1042,2026-01-01,TikTok,Reel,1579,261,96,40099,10.65
POST-1043,2026-01-31,Facebook,Video,430,6,158,33369,7.66
POST-1044,2026-02-10,Facebook,Image,1481,144,72,14922,1.55
POST-1045,2026-01-12,Facebook,Video,1673,282,95,31898,8.59
POST-1046,2026-01-14,Facebook,Carousel,2334,264,128,9330,6.17
POST-1047,2026-01-25,TikTok,Reel,841,41,175,25570,8.87
POST-1048,2026-01-18,TikTok,Carousel,115,271,66,11263,8.9
POST-1049,2026-02-25,Instagram,Reel,2233,145,32,33583,1.87
